Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU127.CDS.10636210246.1_sVCU127.polypeptide.10636210248.1_thiF;seqs=18;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sHMP0060.CDS.10481302186.1_sHMP0060.polypeptide.10481302188.1_conserved;seqs=15;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU129.CDS.10636238131.1_sVCU129.polypeptide.10636238133.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM021.CDS.10667990928.1_sNIHLM021.polypeptide.10667990925.1_hypothetical;seqs=1;	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636427981.1_sVCU120.polypeptide.10636427982.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM049.CDS.10655543147.1_sNIHLM049.polypeptide.10655543145.1_conserved;seqs=4;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW23144.CDS.10481392651.1_sW23144.polypeptide.10481392653.1_ftsK_SpoIIIE;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH04008.CDS.10679414775.1_sNIH04008.polypeptide.10679414778.1_GDSL_like;seqs=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH04008.CDS.10679409603.1_sNIH04008.polypeptide.10679409607.1_conserved;seqs=3;	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM020.CDS.10668324198.1_sNIHLM020.polypeptide.10668324197.1_conserved;seqs=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM001.CDS.10679396835.1_sNIHLM001.polypeptide.10679396843.1_hypothetical;seqs=2;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655641861.1_sNIHLM088.polypeptide.10655641858.1_ABC;seqs=4;	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU071.CDS.10495955425.1_sVCU071.polypeptide.10495955423.1_putative;seqs=2;	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM018.CDS.10667187338.1_sNIHLM018.polypeptide.10667187341.1_putative;seqs=24;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
