Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM008.CDS.10671278312.1_sNIHLM008.polypeptide.10671278310.1_AAA;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=seRP62A.CDS.10441896172.1_seRP62A.polypeptide.10441896175.1_hypothetical;seqs=2;	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU123.CDS.10636571959.1_sVCU123.polypeptide.10636571953.1_conserved;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM070.CDS.10655600942.1_sNIHLM070.polypeptide.10655600946.1_CDP_Glycerol:Poly(glycerophosphate);seqs=30;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH051668.CDS.10679506209.1_sNIH051668.polypeptide.10679506207.1_NH(3)_dependent;seqs=15;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU117.CDS.10636217339.1_sVCU117.polypeptide.10636217337.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM057.CDS.10655585195.1_sNIHLM057.polypeptide.10655585196.1_conserved;seqs=3;	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655658948.1_sNIHLM088.polypeptide.10655658950.1_G5;seqs=2;	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636628318.1_sBVS058A4.polypeptide.10636628319.1_hypothetical;seqs=1;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sSK135.CDS.10481269836.1_sSK135.polypeptide.10481269835.1_conserved;seqs=5;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH08001.CDS.10679480175.1_sNIH08001.polypeptide.10679480177.1_amino;seqs=26;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM003.CDS.10679454365.1_sNIHLM003.polypeptide.10679454361.1_putative;seqs=2;	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=se12228.CDS.10441883370.1_se12228.polypeptide.10441883367.1_putative;seqs=8;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655641971.1_sNIHLM088.polypeptide.10655641973.1_pyridine;seqs=23;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU028.CDS.10495796902.1_sVCU028.polypeptide.10495796903.1_chorismate;seqs=29;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM087.CDS.10655558115.1_sNIHLM087.polypeptide.10655558113.1_putative;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU071.CDS.10495949899.1_sVCU071.polypeptide.10495949898.1_periplasmic;seqs=1;	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW23144.CDS.10481398860.1_sW23144.polypeptide.10481398862.1_relaxase_Mobilisation;seqs=2;	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU127.CDS.10636214453.1_sVCU127.polypeptide.10636214452.1_molybdenum;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU117.CDS.10636217947.1_sVCU117.polypeptide.10636217949.1_cell;seqs=32;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH051475.CDS.10689862709.1_sNIH051475.polypeptide.10689862711.1_glycosyl;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM040.CDS.10655670541.1_sNIHLM040.polypeptide.10655670535.1_subtilase;seqs=1;	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679402299.1_sNIH05001.polypeptide.10679402298.1_mannosyl_glycoendo_beta_N_acetylglucosaminidase;seqs=7;	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=s12142587.CDS.10690186010.1_s12142587.polypeptide.10690186009.1_conserved;seqs=4;	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU129.CDS.10636239161.1_sVCU129.polypeptide.10636239164.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655593838.1_sNIHLM053.polypeptide.10655593840.1_hypothetical;seqs=2;	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636421724.1_sVCU120.polypeptide.10636421721.1_formate_nitrite;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM008.CDS.10671272020.1_sNIHLM008.polypeptide.10671272021.1_nicotinate;seqs=19;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636427779.1_sVCU120.polypeptide.10636427777.1_putative;seqs=1;	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU045.CDS.10495817173.1_sVCU045.polypeptide.10495817170.1_o_succinylbenzoate;seqs=21;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW2grey.CDS.10481444261.1_sW2grey.polypeptide.10481444263.1_replication;seqs=3;	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU118.CDS.10636279782.1_sVCU118.polypeptide.10636279784.1_putative;seqs=1;	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH04008.CDS.10679425921.1_sNIH04008.polypeptide.10679425901.1_peptide;seqs=19;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM008.CDS.10671269292.1_sNIHLM008.polypeptide.10671269289.1_conserved;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
"centroid=sNIHLM003.CDS.10679468447.1_sNIHLM003.polypeptide.10679468449.1_peroxiredoxin,;seqs=19;"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM070.CDS.10655591935.1_sNIHLM070.polypeptide.10655591937.1_carbamoyl_phosphate;seqs=27;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sHMP0060.CDS.10481285370.1_sHMP0060.polypeptide.10481285371.1_putative;seqs=1;	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM031.CDS.10668340315.1_sNIHLM031.polypeptide.10668340317.1_hypothetical;seqs=1;	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679409016.1_sNIH05001.polypeptide.10679409013.1_NUDIX;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05005.CDS.10679497148.1_sNIH05005.polypeptide.10679497150.1_hypothetical;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM095.CDS.10636201066.1_sNIHLM095.polypeptide.10636201068.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=s141R1SE.CDS.10496041248.1_s141R1SE.polypeptide.10496041251.1_conserved;seqs=1;	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU105.CDS.10495916384.1_sVCU105.polypeptide.10495916385.1_helix_turn_helix;seqs=1;	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
"centroid=sVCU105.CDS.10495920333.1_sVCU105.polypeptide.10495920335.1_cadmium,;seqs=13;"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU125.CDS.10636534252.1_sVCU125.polypeptide.10636534254.1_crcB_like;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636625346.1_sBVS058A4.polypeptide.10636625347.1_hypothetical;seqs=2;	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU109.CDS.10495935883.1_sVCU109.polypeptide.10495935882.1_mannosyl_glycoendo_beta_N_acetylglucosaminidase;seqs=5;	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM049.CDS.10655543451.1_sNIHLM049.polypeptide.10655543452.1_NAD_dependent;seqs=16;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU045.CDS.10495818612.1_sVCU045.polypeptide.10495818614.1_tyrosine;seqs=19;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU041.CDS.10636306016.1_sVCU041.polypeptide.10636306019.1_DNA;seqs=4;	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM049.CDS.10655540598.1_sNIHLM049.polypeptide.10655540601.1_deoR;seqs=13;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU109.CDS.10495943763.1_sVCU109.polypeptide.10495943762.1_hypothetical;seqs=1;	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655650558.1_sNIHLM088.polypeptide.10655650559.1_hypothetical;seqs=3;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636626148.1_sBVS058A4.polypeptide.10636626146.1_AAA;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636426137.2_sVCU120.polypeptide.10636426139.2_conserved;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636421059.1_sVCU120.polypeptide.10636421057.1_conserved;seqs=1;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655665175.1_sNIHLM088.polypeptide.10655665179.1_ABC_type;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU144.CDS.10481256710.1_sVCU144.polypeptide.10481256713.1_DNA;seqs=1;	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM018.CDS.10667194869.1_sNIHLM018.polypeptide.10667194868.1_hypothetical;seqs=2;	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU144.CDS.10481248311.1_sVCU144.polypeptide.10481248312.1_AAA;seqs=5;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
